age_group,sex,population
1-4,f,69171.34070265293
1-4,m,74438.9388731718
0-1,f,15084.418808966875
0-1,m,16249.312060952187
5-9,f,83410.26709866524
5-9,m,90365.86566185951
10-14,f,68791.51520562172
10-14,m,72744.48795092106
15-19,f,62009.60226178169
15-19,m,65126.85586690903
20-24,f,74367.25756156445
20-24,m,75255.84135639668
25-29,f,94742.75562262535
25-29,m,90570.88136804104
30-34,f,106160.83527851105
30-34,m,103540.29463624954
35-39,f,95786.56352937222
35-39,m,94503.85401034355
40-44,f,83400.61322164536
40-44,m,84275.39049196243
45-49,f,73773.44550454617
45-49,m,71356.75247097015
50-54,f,75568.57425260544
50-54,m,75557.9468818903
55-59,f,65577.59245574474
55-59,m,68573.22233045101
60-64,f,54934.9178327322
60-64,m,58307.57107448578
65-69,f,44470.28387308121
65-69,m,42850.3451513052
70-74,f,24648.854778289795
70-74,m,22636.51572033763
75-79,f,15277.178426474333
75-79,m,13950.164004057646
80+,f,16808.833843886852
80+,m,13538.881863296032
