year,cumulative sq km
1985,151.35873752947336
1986,158.84105331418118
1987,167.71764406925388
1988,176.01365344865414
1989,181.73076727298414
1990,186.90835093002258
1991,192.48325163960453
1992,197.67989478624838
1993,202.2248499998458
1994,206.7720043853207
1995,210.35665454572253
1996,213.9391055342468
1997,216.92704705854084
1998,219.95530673392324
1999,223.40434129520963
2000,226.19289123593938
2001,230.37278391786396
2002,234.84736563137983
2003,238.48259674496524
2004,240.94273701864796
2005,243.2591980629976
2006,245.56539630525202
2007,248.47856598570945
2008,251.68056023941807
2009,254.37601190399832
2010,256.64189199516437
2011,258.3469832575559
2012,260.195020691988
2013,262.22045799120895
2014,264.1425342121851
2015,265.6453016618423
