yearName,population,growthPercentage
2000,1969032,
2001,1984750,0.7982602618951784
2002,2000614,0.7992946214888441
2003,2016605,0.7993046134836534
2004,2035590,0.9414337463211631
2005,2070274,1.7038794649217204
2006,2105593,1.7060060648976805
2007,2141514,1.7059802155497295
2008,2178094,1.708137327143322
2009,2215198,1.7035077457630443
2010,2252984,1.7057617422912008
2011,2291413,1.705693427028332
2012,2330547,1.7078544985124955
2013,2370243,1.7032911157766728
2014,2410667,1.7054791428558147
2015,2449753,1.6213769881945561
2016,2489472,1.6213471317312322
2017,2529836,1.6213879890996985
2018,2570854,1.6213699227934253
2019,2612428,1.6171280049353198
2020,2654378,1.6057858819458426
2021,2696439,1.5845896854178365
