year,yearName,uba,ubaGrowthPercentage
1,1985,166.08,
2,1986,172.45,3.836
3,1987,185.12,7.347
4,1988,202.45,9.361
5,1989,209.35,3.408
6,1990,218.87,4.547
7,1991,226.97,3.701
8,1992,231.33,1.921
9,1993,235.31,1.72
10,1994,239.6,1.823
11,1995,244.29,1.957
12,1996,249.05,1.949
13,1997,253.29,1.702
14,1998,256.03,1.082
15,1999,258.91,1.125
16,2000,261.67,1.066
17,2001,264.49,1.078
18,2002,267.09,0.983
19,2003,270.39,1.236
20,2004,276.22,2.156
21,2005,281.42,1.883
22,2006,288.77,2.612
23,2007,294.67,2.043
24,2008,301.97,2.477
25,2009,310.29,2.755
26,2010,317.43,2.301
27,2011,322.26,1.522
28,2012,327.01,1.474
29,2013,332.56,1.697
30,2014,337.01,1.338
31,2015,341.35,1.288
