poi,type,total_pois,pois_in_flood_zone,percentage_in_flood_zone
schools,coastal_2020,452,2,0.4424778761061947
health,coastal_2020,103,1,0.9708737864077669
police,coastal_2020,83,2,2.4096385542168677
fire,coastal_2020,8,0,0.0
schools,fluvial_2020,452,3,0.6637168141592921
health,fluvial_2020,103,2,1.9417475728155338
police,fluvial_2020,83,2,2.4096385542168677
fire,fluvial_2020,8,0,0.0
schools,pluvial_2020,452,81,17.920353982300885
health,pluvial_2020,103,20,19.41747572815534
police,pluvial_2020,83,21,25.301204819277107
fire,pluvial_2020,8,1,12.5
schools,comb_2020,452,84,18.58407079646018
health,comb_2020,103,22,21.35922330097087
police,comb_2020,83,24,28.915662650602407
fire,comb_2020,8,1,12.5
