,0
0,85.1
1,143.8
2,38.0
3,356.0
4,80.7
5,257.1
6,351.1
7,82.6
8,169.2
9,81.7
10,173.1
11,172.4
12,262.6
13,83.4
14,171.8
15,86.3
16,217.5
17,173.9
18,84.3
19,169.2
20,292.8
21,255.8
22,2.4
23,38.9
24,30.2
25,262.2
26,11.9
27,3.0
28,214.0
29,185.4
30,211.0
31,67.4
32,189.9
33,6.7
34,49.0
35,41.6
36,60.7
37,185.7
38,232.0
39,221.7
40,4.9
41,219.1
42,3.7
43,6.0
44,335.6
45,311.0
46,311.3
47,182.5
48,333.6
49,60.2
50,200.0
51,191.4
52,174.1
53,143.1
54,348.6
55,91.3
56,324.8
57,35.8
58,143.9
59,243.0
60,61.6
61,240.3
62,324.3
63,62.3
64,237.4
65,60.3
66,55.6
67,323.5
68,235.9
69,236.7
70,55.9
71,236.0
72,55.9
73,55.3
74,239.3
75,166.9
76,227.3
77,280.9
78,173.1
79,222.3
80,353.0
81,218.4
82,34.3
83,282.3
84,242.1
85,299.4
86,126.2
87,331.6
88,328.7
89,199.1
90,150.9
91,336.1
92,148.7
93,43.3
94,279.9
95,59.8
96,337.1
97,151.6
98,115.7
99,117.8
100,157.1
101,223.8
102,194.0
103,336.7
104,2.7
105,62.0
106,119.4
107,319.0
108,62.0
109,60.7
110,125.8
111,3.2
112,19.6
113,343.4
114,99.1
115,183.0
116,294.2
117,308.9
118,244.0
119,197.7
120,143.9
121,119.7
122,276.6
123,138.6
124,35.5
125,187.5
126,199.3
127,19.9
128,109.7
129,299.4
130,132.5
131,192.7
132,238.2
133,4.8
134,188.7
135,62.6
136,8.7
137,187.4
138,279.0
139,206.5
140,101.6
141,269.1
142,114.4
143,122.8
144,183.0
145,229.4
146,182.8
147,89.6
148,57.3
149,269.2
150,29.3
151,202.9
152,294.6
153,34.0
154,187.1
155,251.8
156,152.5
157,246.0
158,108.6
159,61.6
160,205.0
161,337.0
162,78.7
163,350.4
164,96.6
165,261.3
166,261.3
167,256.0
168,157.0
169,289.1
170,332.5
171,66.0
172,335.5
173,71.7
174,205.2
175,114.1
176,22.9
177,191.5
178,75.7
179,160.0
180,69.7
181,340.5
182,46.9
183,159.1
184,343.8
185,63.8
186,291.9
187,335.0
188,251.1
189,339.4
190,255.1
191,160.5
192,249.4
193,69.7
194,348.1
195,66.9
196,128.2
197,26.2
198,291.1
199,115.8
200,24.2
201,111.1
202,295.2
203,205.1
204,69.4
205,250.7
206,164.6
207,84.7
208,68.8
209,46.2
210,157.7
211,159.7
212,72.9
213,204.8
214,339.7
215,249.5
216,70.4
217,164.4
218,294.1
219,24.8
220,340.0
221,114.1
222,250.1
223,69.5
224,341.0
225,249.7
226,69.9
227,160.4
228,107.8
229,7.1
230,161.4
231,207.7
232,340.3
233,70.7
234,112.9
235,249.7
236,339.9
237,170.1
238,115.2
239,339.7
240,249.0
241,70.2
242,69.0
243,292.9
244,69.0
245,249.0
246,339.6
247,249.9
248,160.3
249,284.2
250,206.8
251,71.5
252,342.2
253,26.8
254,288.9
255,69.6
256,250.2
257,160.3
258,340.6
259,190.9
260,340.6
261,10.6
262,10.9
263,294.2
264,103.1
265,164.3
266,247.1
267,11.4
268,353.1
269,337.4
270,97.3
271,140.8
272,90.9
273,5.2
274,64.5
275,74.5
276,56.5
277,69.2
278,54.5
279,66.2
280,93.2
281,69.1
282,122.0
283,83.4
284,102.4
285,110.9
286,102.8
287,282.2
288,299.2
289,252.7
290,240.2
291,236.4
292,246.4
293,236.5
294,235.5
295,237.0
296,191.4
297,211.7
298,177.9
299,134.0
300,169.8
301,138.7
302,122.9
303,241.2
304,311.0
305,3.1
306,335.0
307,16.4
308,281.7
309,293.1
310,66.7
311,211.2
312,109.8
313,215.3
314,34.0
