BEGAN,text,line1,line2,line3,line4,above_line,distance,eqMagnitude,magXdist,location,node_x,node_y
1903-05-13,MAY 1903; MNA; 316 km away; NA damage,MAY 1903,MNA; 316 km away,NA damage,,-1,316.02961246105133,NA,NA,Palermo,1888-02-16,-4100.067698503915
1906-09-17,SEPTEMBER 1906; MNA; 336 km away; NA damage,SEPTEMBER 1906,MNA; 336 km away,NA damage,,1,335.5906172038455,NA,NA,Sicily,1921-12-10,4100.067698503915
1907-02-21,FEBRUARY 1907; MNA; 336 km away; NA damage,FEBRUARY 1907,MNA; 336 km away,NA damage,,-1,335.5906172038455,NA,NA,Sicily,1891-11-27,-4100.067698503915
1908-12-28,"DECEMBER 1908; M7; 498 km away; Extreme damage; 78,000 fatalities",DECEMBER 1908,M7; 498 km away,Extreme damage,"78,000 fatalities",1,497.5452458943844,7,10517.183278739309,"Messina, Sicily, Calabria",1924-03-22,4100.067698503915
1909-10-21,OCTOBER 1909; MNA; 453 km away; NA damage,OCTOBER 1909,MNA; 453 km away,NA damage,,-1,452.98263690739867,NA,NA,Sicily,1894-07-27,-4100.067698503915
1911-10-15,OCTOBER 1911; M4.3; 453 km away; NA damage,OCTOBER 1911,M4.3; 453 km away,NA damage,,1,452.98263690739867,4.3,6652.174661298185,Etna,1927-01-07,4100.067698503915
1914-05-08,MAY 1914; M4.9; 453 km away; Severe damage; 120 fatalities,MAY 1914,M4.9; 453 km away,Severe damage,120 fatalities,-1,452.98263690739867,4.9,7580.385079153747,"Catania, Etna",1899-02-11,-4100.067698503915
1916-07-03,JULY 1916; M5.1; 494 km away; Limited damage,JULY 1916,M5.1; 494 km away,Limited damage,,1,494.399070703847,5.1,7678.56473941038,Stromboli Island,1931-09-26,4100.067698503915
1924-03-16,MARCH 1924; M5.6; 489 km away; NA damage,MARCH 1924,M5.6; 489 km away,NA damage,,-1,489.0811231217561,5.6,8461.145710518165,Batna,1908-12-21,-4100.067698503915
1926-08-17,AUGUST 1926; M5.3; 451 km away; Severe damage,AUGUST 1926,M5.3; 451 km away,Severe damage,,1,451.2702306361475,5.3,8208.267777628418,Salina Island,1941-11-09,4100.067698503915
1930-03-26,MARCH 1930; MNA; 434 km away; Moderate damage,MARCH 1930,MNA; 434 km away,Moderate damage,,-1,434.4327031636276,NA,NA,Filicudi Island,1914-12-31,-4100.067698503915
1931-07-06,JULY 1931; MNA; 444 km away; NA damage,JULY 1931,MNA; 444 km away,NA damage,,1,444.3474413652653,NA,NA,Sicily,1946-09-28,4100.067698503915
1933-02-26,FEBRUARY 1933; MNA; 256 km away; NA damage,FEBRUARY 1933,MNA; 256 km away,NA damage,,-1,256.36672376046465,NA,NA,Sicily,1917-12-03,-4100.067698503915
1939-01-27,JANUARY 1939; MNA; 438 km away; NA damage,JANUARY 1939,MNA; 438 km away,NA damage,,1,437.674709734603,NA,NA,Calabria,1954-04-21,4100.067698503915
1940-01-15,JANUARY 1940; M4.8; 324 km away; NA damage,JANUARY 1940,M4.8; 324 km away,NA damage,,-1,323.9379812168328,4.8,8045.097690159203,NA,1924-10-21,-4100.067698503915
1941-03-16,MARCH 1941; MNA; 241 km away; NA damage,MARCH 1941,MNA; 241 km away,NA damage,,1,240.85492893313682,NA,NA,Calabria,1956-06-08,4100.067698503915
1946-02-12,FEBRUARY 1946; M5.6; 481 km away; Severe damage; 264 fatalities,FEBRUARY 1946,M5.6; 481 km away,Severe damage,264 fatalities,-1,481.10099781044295,5.6,8505.834412261518,Hodna Mountains,1930-11-19,-4100.067698503915
1947-08-06,AUGUST 1947; M5.3; 197 km away; Moderate damage; 3 fatalities,AUGUST 1947,M5.3; 197 km away,Moderate damage,3 fatalities,1,196.62964769915482,5.3,9557.862867194479,NA,1962-10-29,4100.067698503915
1957-02-20,FEBRUARY 1957; M5.6; 135 km away; Moderate damage; 13 fatalities,FEBRUARY 1957,M5.6; 135 km away,Moderate damage,13 fatalities,-1,135.33586134284675,5.6,10442.119176480057,"Sidi Abid,SIDI Touil (LA Medja),CAILLOUX",1941-11-27,-4100.067698503915
1961-03-24,MARCH 1961; MNA; 469 km away; Moderate damage; 15 fatalities,MARCH 1961,MNA; 469 km away,Moderate damage,15 fatalities,1,468.9281009252239,NA,NA,Sicily,1976-06-16,4100.067698503915
1962-02-18,FEBRUARY 1962; M5.3; 141 km away; Moderate damage,FEBRUARY 1962,M5.3; 141 km away,Moderate damage,,-1,141.15717112863726,5.3,9851.866993018222,"Gafour,OUM-Zid,EL Akhouat",1946-11-25,-4100.067698503915
1968-01-15,JANUARY 1968; M6; 283 km away; Extreme damage; 216 fatalities,JANUARY 1968,M6; 283 km away,Extreme damage,216 fatalities,1,282.8139063951359,6,10303.116561629184,Sicily,1983-04-09,4100.067698503915
1968-02-25,FEBRUARY 1968; M4.9; 466 km away; Moderate damage; 1 fatality,FEBRUARY 1968,M4.9; 466 km away,Moderate damage,1 fatality,-1,466.210004150222,4.9,7515.570979663913,El Alen (BABORD),1952-12-01,-4100.067698503915
1975-07-11,JULY 1975; M4.3; 446 km away; Moderate damage; 1 fatality,JULY 1975,M4.3; 446 km away,Moderate damage,1 fatality,1,446.37493646054327,4.3,6680.587773219664,Djebel Babor,1990-10-03,4100.067698503915
1978-04-15,APRIL 1978; M5.7; 463 km away; Moderate damage; 5 fatalities,APRIL 1978,M5.7; 463 km away,Moderate damage,5 fatalities,-1,462.6040561032006,5.7,8763.156880211758,Sicily,1963-01-20,-4100.067698503915
1990-12-13,DECEMBER 1990; M5.3; 468 km away; Extreme damage; 19 fatalities,DECEMBER 1990,M5.3; 468 km away,Extreme damage,19 fatalities,1,467.67468703777183,5.3,8121.324158699808,Sicily:  Carlentini,2006-03-07,4100.067698503915
2002-09-06,SEPTEMBER 2002; M6; 354 km away; Extreme damage; 2 fatalities,SEPTEMBER 2002,M6; 354 km away,Extreme damage,2 fatalities,-1,353.64157882817733,6,9878.150527030935,Sicily:  Palermo,1987-06-13,-4100.067698503915
2018-12-26,DECEMBER 2018; M5; 443 km away; Extreme damage,DECEMBER 2018,M5; 443 km away,Extreme damage,,1,442.9041597655573,5,7785.479201172213,Sicily:  Catania,2034-03-20,4100.067698503915
2021-03-18,MARCH 2021; M6; 445 km away; Limited damage,MARCH 2021,M6; 445 km away,Limited damage,,-1,444.9939433743479,6,9330.036339753911,NA,2005-12-23,-4100.067698503915
NA,NA NA; MNA; 59 km away; NA damage,NA NA,MNA; 59 km away,NA damage,,1,59.330360019211426,NA,NA,Bizerte,NA,4100.067698503915
