month,max,min,mean
1,3.309999942779541,3.0399999618530273,3.204842464247746
2,3.940000057220459,3.7200000286102295,3.8445107632410864
3,4.53000020980835,4.320000171661377,4.440563791822241
4,4.869999885559082,4.699999809265137,4.794626912074302
5,5.170000076293945,4.989999771118164,5.093864032087437
6,5.46999979019165,5.300000190734863,5.387877269763852
7,5.679999828338623,5.519999980926514,5.601359893235797
8,5.380000114440918,5.25,5.313747997505352
9,4.590000152587891,4.400000095367432,4.516683305673931
10,4.110000133514404,3.9100000858306885,4.033781172228887
11,3.440000057220459,3.130000114440918,3.317164175941379
12,3.140000104904175,2.8399999141693115,3.0324543688823136
