Group,Location,Country,Year,"GDP, real, US$ - Total",Employment - Total,Total population,Total employed
Tunis,Tunis,Tunisia,2000,9172.533,585.6129,1969.032,585612.9
Tunis,Tunis,Tunisia,2001,9610.81,600.4866,1984.75,600486.6
Tunis,Tunis,Tunisia,2002,9871.268,609.9025,2000.614,609902.5
Tunis,Tunis,Tunisia,2003,10296.5,620.1196,2016.605,620119.6
Tunis,Tunis,Tunisia,2004,10888.9,633.1398,2035.59,633139.8
Tunis,Tunis,Tunisia,2005,11527.51,657.6982,2070.274,657698.2000000001
Tunis,Tunis,Tunisia,2006,12256.99,675.1573,2105.593,675157.2999999999
Tunis,Tunis,Tunisia,2007,13207.19,700.86,2141.514,700860
Tunis,Tunis,Tunisia,2008,13864.8,719.3958,2178.094,719395.8
Tunis,Tunis,Tunisia,2009,14039,717.7931,2215.198,717793.1
Tunis,Tunis,Tunisia,2010,14531.72,724.086,2252.984,724086
Tunis,Tunis,Tunisia,2011,14396.74,710.9302,2291.413,710930.2000000001
Tunis,Tunis,Tunisia,2012,15048.65,736.695,2330.547,736695
Tunis,Tunis,Tunisia,2013,15243.16,743.4878,2370.243,743487.8
Tunis,Tunis,Tunisia,2014,15802.67,765.3549,2410.667,765354.9
Tunis,Tunis,Tunisia,2015,15907.53,778.5677,2449.753,778567.7
Tunis,Tunis,Tunisia,2016,16370.41,785.5383,2489.472,785538.3
Tunis,Tunis,Tunisia,2017,16869.51,799.463,2529.836,799463
Tunis,Tunis,Tunisia,2018,17197.85,809.5483,2570.854,809548.3
Tunis,Tunis,Tunisia,2019,17562.6,825.4054,2612.428,825405.4
Tunis,Tunis,Tunisia,2020,15880.53,815.105,2654.378,815105
Tunis,Tunis,Tunisia,2021,16355.06,829.6793,2696.439,829679.3
Benchmark,El-Mansoura,Egypt,2000,6060.003,330.2915,1418.234,330291.5
Benchmark,El-Mansoura,Egypt,2001,6255.868,334.7015,1443.195,334701.5
Benchmark,El-Mansoura,Egypt,2002,6390.294,337.167,1468.156,337167
Benchmark,El-Mansoura,Egypt,2003,6607.917,348.4633,1493.117,348463.3
Benchmark,El-Mansoura,Egypt,2004,6906.225,353.5717,1518.077,353571.7
Benchmark,El-Mansoura,Egypt,2005,7198.033,369.2589,1543.038,369258.89999999997
Benchmark,El-Mansoura,Egypt,2006,7722.875,388.7855,1567.999,388785.5
Benchmark,El-Mansoura,Egypt,2007,8185.252,415.0764,1595.485,415076.39999999997
Benchmark,El-Mansoura,Egypt,2008,8667.441,437.2643,1623.453,437264.3
Benchmark,El-Mansoura,Egypt,2009,9064.78,441.579,1651.912,441579
Benchmark,El-Mansoura,Egypt,2010,9534.799,469.7297,1680.868,469729.69999999995
Benchmark,El-Mansoura,Egypt,2011,9489.681,455.4008,1710.333,455400.8
Benchmark,El-Mansoura,Egypt,2012,9716.323,466.3562,1740.316,466356.2
Benchmark,El-Mansoura,Egypt,2013,9907.743,460.8582,1770.823,460858.2
Benchmark,El-Mansoura,Egypt,2014,10337.14,468.4398,1801.865,468439.8
Benchmark,El-Mansoura,Egypt,2015,10671.42,485.4679,1833.449,485467.89999999997
Benchmark,El-Mansoura,Egypt,2016,11033.56,498.5158,1865.591,498515.8
Benchmark,El-Mansoura,Egypt,2017,11523.66,513.0167,1898.292,513016.7
Benchmark,El-Mansoura,Egypt,2018,12124.35,537.8178,1931.572,537817.8
Benchmark,El-Mansoura,Egypt,2019,12772.28,541.669,1963.07,541669
Benchmark,El-Mansoura,Egypt,2020,12867.12,547.3802,1995.563,547380.2
Benchmark,El-Mansoura,Egypt,2021,13561.2,569.0858,2029.302,569085.7999999999
Benchmark,Luxor,Egypt,2000,4321.057,250.0364,1105.3,250036.4
Benchmark,Luxor,Egypt,2001,4505.217,255.9634,1136.244,255963.4
Benchmark,Luxor,Egypt,2002,4649.926,260.3678,1167.188,260367.8
