Group,Indicator,Share
Benchmark,Industry,0.3665502497571882
Benchmark,Consumer services,0.23028218651331744
Benchmark,Public services,0.17209662135644999
Benchmark,Agriculture,0.12028212518109078
Benchmark,Transport & ICT,0.0688550822133337
Benchmark,Financial & business services,0.058586897040372364
Tunis,Consumer services,0.28313377708236576
Tunis,Industry,0.2529932111831467
Tunis,Public services,0.2342957430846945
Tunis,Financial & business services,0.12955947623031833
Tunis,Transport & ICT,0.08022608208633125
Tunis,Agriculture,0.01979171033314347
