Group,Location,Country,Year,"GDP, real, US$ - Total",Employment - Total,Total population,GDP per capita,growth,growth_pct
Tunis,Tunis,Tunisia,2000,9172.533,585.6129,1969.032,4658.397121021903,NA,NA
Tunis,Tunis,Tunisia,2001,9610.81,600.4866,1984.75,4842.327749086787,183.93062806488342,0.0394836728785662
Tunis,Tunis,Tunisia,2002,9871.268,609.9025,2000.614,4934.119225397802,91.79147631101569,0.018956064328426885
Tunis,Tunis,Tunisia,2003,10296.5,620.1196,2016.605,5105.858608899611,171.73938350180833,0.034806492436948
Tunis,Tunis,Tunisia,2004,10888.9,633.1398,2035.59,5349.259919728433,243.4013108288218,0.04767098532743711
Tunis,Tunis,Tunisia,2005,11527.51,657.6982,2070.274,5568.108375992743,218.8484562643107,0.040911912965227726
Tunis,Tunis,Tunisia,2006,12256.99,675.1573,2105.593,5821.158220035876,253.0498440431329,0.0454462856962651
Tunis,Tunis,Tunisia,2007,13207.19,700.86,2141.514,6167.220947423179,346.0627273873024,0.059449118939283806
Tunis,Tunis,Tunisia,2008,13864.8,719.3958,2178.094,6365.565489827344,198.34454240416562,0.03216108910238395
Tunis,Tunis,Tunisia,2009,14039,717.7931,2215.198,6337.582464411759,-27.98302541558496,-0.004395999924956228
Tunis,Tunis,Tunisia,2010,14531.72,724.086,2252.984,6449.988104664747,112.40564025298772,0.017736359390066094
Tunis,Tunis,Tunisia,2011,14396.74,710.9302,2291.413,6282.90927912166,-167.07882554308708,-0.025903741655314477
Tunis,Tunis,Tunisia,2012,15048.65,736.695,2330.547,6457.132166826072,174.22288770441173,0.027729651975615954
Tunis,Tunis,Tunisia,2013,15243.16,743.4878,2370.243,6431.05369365082,-26.07847317525193,-0.004038708284342041
Tunis,Tunis,Tunisia,2014,15802.67,765.3549,2410.667,6555.310210825469,124.25651717464916,0.01932133101257167
Tunis,Tunis,Tunisia,2015,15907.53,778.5677,2449.753,6493.524040995153,-61.786169830315885,-0.009425361705733151
Tunis,Tunis,Tunisia,2016,16370.41,785.5383,2489.472,6575.856245822407,82.33220482725392,0.012679125280428815
Tunis,Tunis,Tunisia,2017,16869.51,799.463,2529.836,6668.222762266012,92.36651644360518,0.014046310167179362
Tunis,Tunis,Tunisia,2018,17197.85,809.5483,2570.854,6689.54752000697,21.324757740958376,0.0031979672097384674
Tunis,Tunis,Tunisia,2019,17562.6,825.4054,2612.428,6722.711592434318,33.16407242734749,0.004957595760873366
Tunis,Tunis,Tunisia,2020,15880.53,815.105,2654.378,5982.768844527795,-739.9427479065225,-0.11006611509844447
Tunis,Tunis,Tunisia,2021,16355.06,829.6793,2696.439,6065.429256882874,82.66041235507873,0.013816414189340607
Benchmark,El-Mansoura,Egypt,2000,6060.003,330.2915,1418.234,4272.921816851098,NA,NA
Benchmark,El-Mansoura,Egypt,2001,6255.868,334.7015,1443.195,4334.735084309466,61.8132674583685,0.014466276264310726
Benchmark,El-Mansoura,Egypt,2002,6390.294,337.167,1468.156,4352.59877015794,17.863685848473324,0.004121055958675512
Benchmark,El-Mansoura,Egypt,2003,6607.917,348.4633,1493.117,4425.58553683335,72.98676667540985,0.01676854921152345
Benchmark,El-Mansoura,Egypt,2004,6906.225,353.5717,1518.077,4549.324573127714,123.73903629436427,0.02795992423251265
Benchmark,El-Mansoura,Egypt,2005,7198.033,369.2589,1543.038,4664.844935769566,115.52036264185244,0.025392860145485474
Benchmark,El-Mansoura,Egypt,2006,7722.875,388.7855,1567.999,4925.306074812548,260.4611390429818,0.055834897543065524
Benchmark,El-Mansoura,Egypt,2007,8185.252,415.0764,1595.485,5130.259450887975,204.9533760754266,0.04161231260804983
Benchmark,El-Mansoura,Egypt,2008,8667.441,437.2643,1623.453,5338.892471786988,208.633020899013,0.040667148103572345
Benchmark,El-Mansoura,Egypt,2009,9064.78,441.579,1651.912,5487.447273220365,148.55480143337718,0.027825022177990075
Benchmark,El-Mansoura,Egypt,2010,9534.799,469.7297,1680.868,5672.5447804348705,185.09750721450564,0.0337310771290344
Benchmark,El-Mansoura,Egypt,2011,9489.681,455.4008,1710.333,5548.4405668369845,-124.10421359788597,-0.02187804916515297
Benchmark,El-Mansoura,Egypt,2012,9716.323,466.3562,1740.316,5583.079739541555,34.63917270457023,0.006243046543853867
Benchmark,El-Mansoura,Egypt,2013,9907.743,460.8582,1770.823,5594.99340137326,11.913661831705213,0.0021338870995031645
Benchmark,El-Mansoura,Egypt,2014,10337.14,468.4398,1801.865,5736.911477829915,141.9180764566554,0.02536519103343757
Benchmark,El-Mansoura,Egypt,2015,10671.42,485.4679,1833.449,5820.407330664774,83.49585283485885,0.014554146975689885
Benchmark,El-Mansoura,Egypt,2016,11033.56,498.5158,1865.591,5914.2437972738935,93.83646660911927,0.016121975882124696
Benchmark,El-Mansoura,Egypt,2017,11523.66,513.0167,1898.292,6070.541307659728,156.29751038583436,0.02642730258395469
Benchmark,El-Mansoura,Egypt,2018,12124.35,537.8178,1931.572,6276.934020580128,206.3927129204003,0.03399906243286356
Benchmark,El-Mansoura,Egypt,2019,12772.28,541.669,1963.07,6506.278431232712,229.34441065258397,0.03653764877894757
Benchmark,El-Mansoura,Egypt,2020,12867.12,547.3802,1995.563,6447.864587587563,-58.41384364514943,-0.008978073143125855
Benchmark,El-Mansoura,Egypt,2021,13561.2,569.0858,2029.302,6682.691881247838,234.82729366027525,0.03641938977942071
Benchmark,Luxor,Egypt,2000,4321.057,250.0364,1105.3,3909.3974486564734,NA,NA
Benchmark,Luxor,Egypt,2001,4505.217,255.9634,1136.244,3965.0083960839397,55.61094742746627,0.014224940840071879
Benchmark,Luxor,Egypt,2002,4649.926,260.3678,1167.188,3983.8706360929,18.86224000896027,0.0047571753007105
Benchmark,Luxor,Egypt,2003,4856.428,271.6073,1198.132,4053.333021737171,69.46238564427085,0.01743590392091513
Benchmark,Luxor,Egypt,2004,5124.478,278.0582,1229.075,4169.377784105934,116.0447623687628,0.028629466601051333
Benchmark,Luxor,Egypt,2005,5377.906,292.8904,1260.019,4268.11500461501,98.737220509076,0.0236815241078589
Benchmark,Luxor,Egypt,2006,5837.75,310.9222,1290.963,4522.011862462364,253.8968578473541,0.05948688298530418
Benchmark,Luxor,Egypt,2007,6181.48,332.0161,1313.863,4704.813211118663,182.80134865629952,0.040424783086871204
Benchmark,Luxor,Egypt,2008,6545.852,349.7029,1336.661,4897.166895720007,192.35368460134396,0.04088444662303778
Benchmark,Luxor,Egypt,2009,6851.038,353.3887,1360.999,5033.830296715868,136.66340099586068,0.027906625178590674
Benchmark,Luxor,Egypt,2010,7207.609,376.6304,1387.482,5194.740544381837,160.9102476659691,0.03196576725499644
Benchmark,Luxor,Egypt,2011,7199.625,366.3224,1416.37,5083.152707272817,-111.58783710902026,-0.02148092597804593
Benchmark,Luxor,Egypt,2012,7401.378,376.423,1446.148,5117.99483870254,34.84213142972294,0.006854433348003081
Benchmark,Luxor,Egypt,2013,7568.149,373.4122,1477.143,5123.504630221989,5.509791519449209,0.0010765527698042762
Benchmark,Luxor,Egypt,2014,7910.594,380.8677,1508.235,5244.934642147941,121.43001192595239,0.023700576205137755
Benchmark,Luxor,Egypt,2015,8171.62,395.7215,1538.596,5311.088810837933,66.15416868999182,0.012612963402514376
Benchmark,Luxor,Egypt,2016,8454.047,406.9811,1567.971,5391.711326293663,80.62251545572963,0.01518003526719595
Benchmark,Luxor,Egypt,2017,8812.188,419.5398,1597.512,5516.195183510358,124.48385721669547,0.023088004843587834
Benchmark,Luxor,Egypt,2018,9280.566,440.5132,1627.337,5702.915868071579,186.72068456122088,0.033849542728181144
Benchmark,Luxor,Egypt,2019,9789.442,444.6286,1657.707,5905.411511201919,202.4956431303399,0.03550738741632762
Benchmark,Luxor,Egypt,2020,9856.551,450.3179,1688.827,5836.3295944463225,-69.08191675559647,-0.011698069918507057
Benchmark,Luxor,Egypt,2021,10380.97,469.0993,1720.723,6032.911746980775,196.5821525344527,0.03368249673930589
Benchmark,Tripoli,Libya,2000,19120.49,304.1274,1273.683,15011.969226251744,NA,NA
Benchmark,Tripoli,Libya,2001,19204.9,312.9944,1282.552,14973.973764806417,-37.99546144532724,-0.002531011146684459
Benchmark,Tripoli,Libya,2002,19111.91,322.1541,1291.495,14798.284159055978,-175.6896057504382,-0.011732998101236456
Benchmark,Tripoli,Libya,2003,21353.82,332.1564,1300.5,16419.700115340253,1621.4159562842742,0.10956783495011009
Benchmark,Tripoli,Libya,2004,22200.23,342.6522,1309.581,16952.16256191866,532.4624465784073,0.03242826865522041
Benchmark,Tripoli,Libya,2005,24384.95,353.3892,1318.699,18491.672474158244,1539.509912239584,0.09081495688921361
Benchmark,Tripoli,Libya,2006,25973.39,362.9876,1327.893,19559.85158442736,1068.1791102691168,0.0577654136888849
Benchmark,Tripoli,Libya,2007,27151.39,372.4642,1337.151,20305.40305470362,745.5514702762594,0.03811641755348658
Benchmark,Tripoli,Libya,2008,31162.21,380.6837,1346.475,23143.548896191907,2838.1458414882873,0.13977293796346724
Benchmark,Tripoli,Libya,2009,31061.58,386.3621,1355.863,22909.08447239876,-234.46442379314612,-0.010130875988156053
Benchmark,Tripoli,Libya,2010,32434.2,393.7581,1365.317,23755.80176618324,846.7172937844771,0.03695989225604436
Benchmark,Tripoli,Libya,2011,12193.61,397.6616,1374.836,8869.13784625948,-14886.663919923758,-0.6266538198308743
Benchmark,Tripoli,Libya,2012,27438.17,404.6378,1384.421,19819.238511984433,10950.100665724953,1.2346296624922917
Benchmark,Tripoli,Libya,2013,17641.5,406.9515,1394.074,12654.636697908432,-7164.601814076001,-0.3614973304722914
Benchmark,Tripoli,Libya,2014,10219.3,411.2079,1403.795,7279.766632592366,-5374.870065316067,-0.424735232913042
Benchmark,Tripoli,Libya,2015,7243.583,414.8239,1413.581,5124.278693615718,-2155.4879389766475,-0.29609299964730684
Benchmark,Tripoli,Libya,2016,6120.48,420.9666,1423.438,4299.786854081456,-824.491839534262,-0.16089910186998363
Benchmark,Tripoli,Libya,2017,10010.64,428.2158,1433.363,6984.02288882858,2684.236034747124,0.6242718827327884
