Group,Indicator,Share
Tunis,Consumer services,0.1769654094148498
Tunis,Industry,0.1855089114926982
Tunis,Public services,0.21956035704501825
Tunis,Financial & business services,0.2618720774186751
Tunis,Transport & ICT,0.139668619038319
Tunis,Agriculture,0.016424625590439588
Benchmark,Consumer services,0.13347592180310375
Benchmark,Industry,0.31249697920784353
Benchmark,Public services,0.1665438160504294
Benchmark,Financial & business services,0.18152348934987797
Benchmark,Transport & ICT,0.10336910965103464
Benchmark,Agriculture,0.03587414470985703
