Year,Households,Percent,sum,Location,Group,Band,Income Band,pct_sum
2002,18362.243245,0.04107366550163134,447056.356445,Tunis,Tunis,Under $5K,NA,0.04107366550163134
2003,16438.174308999998,0.035937442914596655,457410.79430899996,Tunis,Tunis,Under $5K,NA,0.035937442914596655
2004,15519.492137999998,0.0329845377081344,470508.099138,Tunis,Tunis,Under $5K,NA,0.0329845377081344
2005,15014.378638,0.03104304483138933,483663.20763799996,Tunis,Tunis,Under $5K,NA,0.03104304483138933
2006,13841.740004000001,0.02781385019898418,497656.380004,Tunis,Tunis,Under $5K,NA,0.02781385019898418
2007,12367.003186599999,0.024166212548842034,511747.67918659997,Tunis,Tunis,Under $5K,NA,0.024166212548842034
2008,11361.3541276,0.021521617509379042,527904.2861276,Tunis,Tunis,Under $5K,NA,0.021521617509379042
2009,11631.6562844,0.02135022300597607,544802.5662844001,Tunis,Tunis,Under $5K,NA,0.02135022300597607
2010,11213.3059494,0.019970927536934125,561481.4799494001,Tunis,Tunis,Under $5K,NA,0.019970927536934125
2011,12898.957420300001,0.022278120702407627,578996.6574203,Tunis,Tunis,Under $5K,NA,0.022278120702407627
2012,12835.4029008,0.021351175631468374,601156.7289008,Tunis,Tunis,Under $5K,NA,0.021351175631468374
2013,13814.588631499999,0.02254749765660421,612688.3276315,Tunis,Tunis,Under $5K,NA,0.02254749765660421
2014,13249.4626776,0.021207649924013184,624749.2166776,Tunis,Tunis,Under $5K,NA,0.021207649924013184
2015,14389.4120254,0.02258453868492682,637135.5300254,Tunis,Tunis,Under $5K,NA,0.02258453868492682
2016,13892.1868922,0.021383797173812377,649659.4958922,Tunis,Tunis,Under $5K,NA,0.021383797173812377
2017,13906.2033594,0.02096766362795024,663221.4063594,Tunis,Tunis,Under $5K,NA,0.02096766362795024
2018,15173.799682300001,0.022402919609669204,677313.4906823001,Tunis,Tunis,Under $5K,NA,0.022402919609669204
2019,15045.954142399998,0.021760859649458866,691422.7831424,Tunis,Tunis,Under $5K,NA,0.021760859649458866
2020,27417.138106,0.039106770796761246,701084.174106,Tunis,Tunis,Under $5K,NA,0.039106770796761246
2021,26960.769869,0.037614007436316106,716774.725869,Tunis,Tunis,Under $5K,NA,0.037614007436316106
2002,20484.239999999998,0.04582026338444449,447056.356445,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.08689392888607583
2003,19127.81,0.04181757456969494,457410.79430899996,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.07775501748429159
2004,18551.960000000003,0.03942962944524939,470508.099138,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.07241416715338378
2005,18313.45,0.03786405438907561,483663.20763799996,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.06890709922046495
2006,17422.440000000002,0.03500897546990148,497656.380004,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.06282282566888565
2007,16281.55,0.03181558151055769,511747.67918659997,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05598179405939972
2008,15533.99,0.029425769799954364,527904.2861276,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.0509473873093334
2009,16084.27,0.029523117171962116,544802.5662844001,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05087334017793818
2010,15903.06,0.028323391897864845,561481.4799494001,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.04829431943479897
2011,17852.85,0.03083411582986121,578996.6574203,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05311223653226883
2012,17943.42,0.029848156291636445,601156.7289008,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.051199331923104816
2013,19051.079999999998,0.031094243420054558,612688.3276315,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05364174107665877
2014,18623.31,0.02980925706323935,624749.2166776,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05101690698725253
2015,19951.86,0.03131493859588179,637135.5300254,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.053899477280808614
2016,19486.14,0.02999438955823928,649659.4958922,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05137818673205166
2017,19555.08,0.029484995225565885,663221.4063594,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05045265885351613
2018,20946.86,0.03092638827981844,677313.4906823001,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05332930788948764
2019,20923.62,0.03026168721965694,691422.7831424,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.05202254686911581
2020,31328.03,0.044685119358097755,701084.174106,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.083791890154859
2021,31462.18,0.04389409791459378,716774.725869,Tunis,Tunis,$7.5K-10K,"$7,500-10,000 (PPP constant 2015 prices)",0.08150810535090988
2002,107242.3,0.23988541590772283,447056.356445,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.32677934479379867
2003,104632.8,0.22875017665043604,457410.79430899996,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.30650519413472765
2004,104370.2,0.22182444933724346,470508.099138,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.29423861649062727
2005,105132.3,0.21736675095345845,483663.20763799996,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.28627385017392337
2006,103559.4,0.20809418739727123,497656.380004,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.2709170130661569
2007,101362.4,0.1980710497038521,511747.67918659997,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.2540528437632518
2008,100516.09999999999,0.19040591759034173,527904.2861276,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.24135330489967513
2009,104732.29999999999,0.1922389990089129,544802.5662844001,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.24311233918685107
2010,106060.8,0.18889456515922495,561481.4799494001,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.23718888459402393
2011,115290.09999999999,0.1991204932230026,578996.6574203,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.25223272975527145
2012,117363.8,0.19522995311821056,601156.7289008,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.2464292850413154
2013,122545,0.20001197097018047,612688.3276315,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.25365371204683923
2014,122251.40000000001,0.19568075755281414,624749.2166776,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.24669766454006667
2015,128574.5,0.20180086330277996,637135.5300254,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.2557003405835886
2016,127590.7,0.19639626728579598,649659.4958922,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.24777445401784765
2017,128688.70000000001,0.19403580578981425,663221.4063594,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.24448846464333038
2018,134973.7,0.1992780327821798,677313.4906823001,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.25260734067166746
2019,136035.1,0.19674662640091697,691422.7831424,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.24876917327003278
2020,167110.80000000002,0.23836053668319404,701084.174106,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.32215242683805306
2021,170456.4,0.2378102824333585,716774.725869,Tunis,Tunis,$10K-20K,"$10,000-20,000 (PPP constant 2015 prices)",0.3193183877842684
2002,127919,0.2861361842994788,447056.356445,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.6129155290932775
2003,130569.9,0.2854543478739914,457410.79430899996,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.591959542008719
2004,133976.1,0.2847477019958902,470508.099138,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5789863184865175
2005,137575.19999999998,0.28444421206206116,483663.20763799996,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5707180622359845
2006,140509.9,0.28234321038719656,497656.380004,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5532602234533535
2007,143631.5,0.28066859087333007,511747.67918659997,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5347214346365818
2008,147473.7,0.27935689077613224,527904.2861276,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5207101956758073
2009,153567.90000000002,0.28187807749759,544802.5662844001,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.524990416684441
2010,158441.8,0.28218526462222504,561481.4799494001,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5193741492162489
2011,166017,0.2867322252596123,578996.6574203,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5389649550148837
2012,171422.69999999998,0.28515475542200464,601156.7289008,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.53158404046332
2013,175803.2,0.28693740695144504,612688.3276315,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5405911189982843
2014,178713.1,0.2860557408145169,624749.2166776,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5327534053545836
2015,183946,0.28870780443317423,637135.5300254,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5444081450167628
2016,186013.5,0.2863246072383521,649659.4958922,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5340990612561998
2017,188989.1,0.2849562728039974,663221.4063594,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5294447374473278
2018,194089.1,0.28655726287761074,677313.4906823001,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5391646035492782
2019,197494.40000000002,0.2856347878824896,691422.7831424,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.5344039611525223
2020,201913.90000000002,0.28800236470531393,701084.174106,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.6101547915433669
2021,207857,0.28998929858750155,716774.725869,Tunis,Tunis,$20K-35K,"$20,000-35,000 (PPP constant 2015 prices)",0.6093076863717699
2002,121452.6,0.27167178868855196,447056.356445,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8845873177818294
2003,129163.29999999999,0.2823792127492838,457410.79430899996,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8743387547580028
2004,135914.3,0.2888670784817592,470508.099138,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8678533969682767
2005,141787.5,0.29315337152153514,483663.20763799996,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8638714337575197
2006,149849.19999999998,0.30110977377361375,497656.380004,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8543699972269672
2007,158730.8,0.31017395184340746,511747.67918659997,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8448953864799893
2008,167426.8,0.31715370456289715,527904.2861276,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8378639002387045
2009,172719.30000000002,0.3170309956099516,544802.5662844001,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8420214122943926
2010,180076.30000000002,0.32071636631047606,561481.4799494001,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.840090515526725
2011,181339.2,0.31319559046843326,578996.6574203,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.852160545483317
2012,190063.4,0.31616280890264037,601156.7289008,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8477468493659603
2013,191412.7,0.31241447138376816,612688.3276315,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8530055903820525
2014,197603.1,0.3162918731628798,624749.2166776,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8490452785174634
2015,198603.3,0.3117127999314094,637135.5300254,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8561209449481721
2016,205117.4,0.3157306270391771,649659.4958922,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8498296882953769
2017,210416,0.31726358344648403,663221.4063594,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8467083208938118
2018,211945.2,0.3129203875542098,677313.4906823001,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.852084991103488
2019,217741.3,0.31491773963594677,691422.7831424,Tunis,Tunis,$35K-70K,"$35,000-70,000 (PPP constant 2015 prices)",0.8493217007884691
