Group,Band,Percent
Tunis,"Up to $1,000",3.927690107358121e-6
Tunis,$1K-2K,1.9335307872634066e-4
Tunis,$2K-5K,0.009962563888315863
Tunis,$5K-7.5K,0.027454162779166544
Tunis,$7.5K-10K,0.04389409791459378
Tunis,$10K-20K,0.2378102824333585
Tunis,$20K-35K,0.28998929858750155
Tunis,$35K-70K,0.27618635654318596
Tunis,$70K-100K,0.06793875152470147
Tunis,$100K-150K,0.03337175424398502
Tunis,$150K-200K,0.008594809188523091
Tunis,$200K-$250K,0.0027490268962972932
Tunis,Over $250K,0.0018516152315372818
Benchmark,"Up to $1,000",2.1534782815564453e-6
Benchmark,$1K-2K,9.249120747841226e-5
Benchmark,$2K-5K,0.0053926119031219005
Benchmark,$5K-7.5K,0.01957178715704896
Benchmark,$7.5K-10K,0.03152191001624708
Benchmark,$10K-20K,0.19982472023151202
Benchmark,$20K-35K,0.25700846043428083
Benchmark,$35K-70K,0.30682672876380734
Benchmark,$70K-100K,0.0825974340939221
Benchmark,$100K-150K,0.04023368665115188
Benchmark,$150K-200K,0.009979375692816221
Benchmark,$200K-$250K,0.0030461859012244495
Benchmark,Over $250K,0.0018783347590262704
