Group,Location,Country,Year,Population,Source,Method,Area_km
Tunis,Tunis,Tunisia,2000,1969032,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2001,1984750,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2002,2000614,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2003,2016605,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2004,2035590,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2005,2070274,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2006,2105593,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2007,2141514,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2008,2178094,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2009,2215198,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2010,2252984,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2011,2291413,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2012,2330547,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2013,2370243,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2014,2410667,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2015,2449753,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2016,2489472,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2017,2529836,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2018,2570854,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2019,2612428,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2020,2654378,Oxford,Oxford,1115.15426291701
Tunis,Tunis,Tunisia,2021,2696439,Oxford,Oxford,1115.15426291701
Benchmark,El-Mansoura,Egypt,2000,1418234,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2001,1443195,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2002,1468156,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2003,1493117,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2004,1518077,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2005,1543038,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2006,1567999,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2007,1595485,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2008,1623453,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2009,1651912,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2010,1680868,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2011,1710333,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2012,1740316,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2013,1770823,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2014,1801865,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2015,1833449,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2016,1865591,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2017,1898292,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2018,1931572,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2019,1963070,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2020,1995563,Oxford,Oxford,664.008635399964
Benchmark,El-Mansoura,Egypt,2021,2029302,Oxford,Oxford,664.008635399964
Benchmark,Luxor,Egypt,2000,1105300,Oxford,Oxford,630.987287821771
Benchmark,Luxor,Egypt,2001,1136244,Oxford,Oxford,630.987287821771
Benchmark,Luxor,Egypt,2002,1167188,Oxford,Oxford,630.987287821771
Benchmark,Luxor,Egypt,2003,1198132,Oxford,Oxford,630.987287821771
Benchmark,Luxor,Egypt,2004,1229075,Oxford,Oxford,630.987287821771
Benchmark,Luxor,Egypt,2005,1260019,Oxford,Oxford,630.987287821771
