Group,Location,Country,Year,Population,Source,Method
Tunis,Tunis,Tunisia,2000,1969032,Oxford,Oxford
Tunis,Tunis,Tunisia,2001,1984750,Oxford,Oxford
Tunis,Tunis,Tunisia,2002,2000614,Oxford,Oxford
Tunis,Tunis,Tunisia,2003,2016605,Oxford,Oxford
Tunis,Tunis,Tunisia,2004,2035590,Oxford,Oxford
Tunis,Tunis,Tunisia,2005,2070274,Oxford,Oxford
Tunis,Tunis,Tunisia,2006,2105593,Oxford,Oxford
Tunis,Tunis,Tunisia,2007,2141514,Oxford,Oxford
Tunis,Tunis,Tunisia,2008,2178094,Oxford,Oxford
Tunis,Tunis,Tunisia,2009,2215198,Oxford,Oxford
Tunis,Tunis,Tunisia,2010,2252984,Oxford,Oxford
Tunis,Tunis,Tunisia,2011,2291413,Oxford,Oxford
Tunis,Tunis,Tunisia,2012,2330547,Oxford,Oxford
Tunis,Tunis,Tunisia,2013,2370243,Oxford,Oxford
Tunis,Tunis,Tunisia,2014,2410667,Oxford,Oxford
Tunis,Tunis,Tunisia,2015,2449753,Oxford,Oxford
Tunis,Tunis,Tunisia,2016,2489472,Oxford,Oxford
Tunis,Tunis,Tunisia,2017,2529836,Oxford,Oxford
Tunis,Tunis,Tunisia,2018,2570854,Oxford,Oxford
Tunis,Tunis,Tunisia,2019,2612428,Oxford,Oxford
Tunis,Tunis,Tunisia,2020,2654378,Oxford,Oxford
Tunis,Tunis,Tunisia,2021,2696439,Oxford,Oxford
