Year,uba_km2,uba_km2_exposed,growth_pct,percent_uba_exposed
1985,151.35873752947336,3.351537941381818,NA,2.21%
1986,158.84105331418118,3.4746915665244567,3.67%,2.19%
1987,167.71764406925388,3.6828798375989176,5.99%,2.20%
1988,176.01365344865414,3.977568869190232,8.00%,2.26%
1989,181.73076727298417,4.116849754768217,3.50%,2.27%
1990,186.90835093002255,4.237071150740793,2.92%,2.27%
1991,192.48325163960453,4.441594135352676,4.83%,2.31%
1992,197.6798947862484,4.598468395951038,3.53%,2.33%
1993,202.2248499998458,4.801525265977889,4.42%,2.37%
1994,206.7720043853207,5.022908568317633,4.61%,2.43%
1995,210.3566545457225,5.185647287256121,3.24%,2.47%
1996,213.9391055342468,5.427556193786304,4.66%,2.54%
1997,216.92704705854084,5.631346121105671,3.75%,2.60%
1998,219.95530673392324,5.777957579608812,2.60%,2.63%
1999,223.40434129520963,6.023531772601575,4.25%,2.70%
2000,226.19289123593936,6.172342402982264,2.47%,2.73%
2001,230.37278391786396,6.3563397834037065,2.98%,2.76%
2002,234.84736563137983,6.53667187736257,2.84%,2.78%
2003,238.48259674496524,6.648829643117474,1.72%,2.79%
2004,240.94273701864796,6.7470593203145786,1.48%,2.80%
2005,243.2591980629976,6.824763393321244,1.15%,2.81%
2006,245.565396305252,6.928857528858474,1.53%,2.82%
2007,248.47856598570945,7.034417778980736,1.52%,2.83%
2008,251.68056023941807,7.114321023864949,1.14%,2.83%
2009,254.37601190399832,7.191292039579098,1.08%,2.83%
2010,256.64189199516437,7.28658948760614,1.33%,2.84%
2011,258.3469832575559,7.332772097034629,0.63%,2.84%
2012,260.195020691988,7.450061263837143,1.60%,2.86%
2013,262.22045799120895,7.505040560775821,0.74%,2.86%
2014,264.1425342121851,7.6149991546531774,1.47%,2.88%
2015,265.6453016618423,7.672177623469403,0.75%,2.89%
